Disease,Description
Botulism,"Botulism is a rare but serious condition caused by a toxin that attacks the body's nerves. Botulism may cause life-threatening symptoms. A type of bacteria called Clostridium botulinum produces the toxin. Botulism can occur as the result of food or wound contamination. The condition can also occur when bacterial spores grow in the intestines of infants. In rare cases, botulism can also be caused by medical treatment or bioterrorism."
Fecal incontinence,Fecal incontinence is not being able to control bowel movements. Stool leaks from the rectum without warning. Fecal incontinence ranges from an occasional leakage of stool while passing gas to a complete loss of bowel control. Fecal incontinence is sometimes called bowel incontinence. 
Brachial plexus injury,"The brachial plexus is the network of nerves that sends signals from the spinal cord to the shoulder, arm and hand. A brachial plexus injury occurs when these nerves are stretched, compressed, or in the most serious cases, ripped apart or torn away from the spinal cord."
Bradycardia,"Bradycardia (brad-e-KAHR-dee-uh) is a slow heart rate. The hearts of adults at rest usually beat between 60 and 100 times a minute. If you have bradycardia, your heart beats fewer than 60 times a minute."
Brain AVM (arteriovenous malformation),"In a brain AVM, blood passes directly from the arteries to the veins via tangled vessels. This disrupts the typical process of how blood circulates through the brain."
Brain metastases,Brain metastases happen when cancer begins elsewhere in the body and spreads (metastasizes) to the brain.
Brain tumor,"A brain tumor can form in the brain cells (as shown), or it can begin elsewhere and spread to the brain. As the tumor grows, it creates pressure on and changes the function of surrounding brain tissue, which causes signs and symptoms such as headaches, nausea and balance problems."
Pediatric brain tumors,"This shows a child's tumor that likely began in the brain cells. As the tumor grows, it creates pressure on and changes the function of surrounding brain tissue, which causes signs and symptoms, such as headaches, nausea and balance problems."
Breast cancer,"Each breast contains 15 to 20 lobes of glandular tissue, arranged like the petals of a daisy. The lobes are further divided into smaller lobules that produce milk for breastfeeding. Small tubes (ducts) conduct the milk to a reservoir that lies just beneath your nipple."
Inflammatory breast cancer,"Inflammatory breast cancer often appears as an enlarged breast with red, thickened skin."
Male breast cancer,"Male breast cancer is a rare cancer that forms in the breast tissue of men. Though breast cancer is most commonly thought of as a disease that affects women, breast cancer does occur in men."
Mastitis,"Mastitis, which mainly affects breast-feeding women, causes redness, swelling and pain in one or both breasts."
Breast pain,"Breast pain (mastalgia) can be described as tenderness, throbbing, sharp, stabbing, burning pain or tightness in the breast tissue. The pain may be constant or it may occur only occasionally, and it can occur in men, women and transgender people."
Broken collarbone,The collarbone connects the breastbone to the shoulder blade. A broken collarbone is a common injury that causes pain and swelling at the break.
Broken foot,"A fall or blow to your ankle can break one or more of the three bones in your ankle joint — the fibula, the tibia and the talus. Rolling your ankle can cause a break in the knobby bumps at the end of the tibia and fibula."
Broken leg,"A broken leg (leg fracture) is a break or crack in one of the bones in your leg. Common causes include falls, motor vehicle accidents and sports injuries."
Broken ribs,A broken rib occurs when one of the bones in the rib cage breaks or cracks.
Broken toe,A broken toe is a common injury that's most often caused by dropping something on a foot or stubbing a toe.
Broken wrist,Your wrist is made up of eight small bones (carpal bones) plus two long bones in your forearm — the radius and the ulna.
Bronchiolitis,"In your lungs, the main airways, called bronchi, branch off into smaller and smaller passageways. The smallest airways, called bronchioles, lead to tiny air sacs called alveoli."
Bronchitis,"Bronchitis is an inflammation of the lining of your bronchial tubes, which carry air to and from your lungs. People who have bronchitis often cough up thickened mucus, which can be discolored. Bronchitis may be either acute or chronic."
Bruxism (teeth grinding),"Bruxism (BRUK-siz-um) is a condition in which you grind, gnash or clench your teeth. If you have bruxism, you may unconsciously clench your teeth when you're awake (awake bruxism) or clench or grind them during sleep (sleep bruxism)."
Buerger disease,"In Buerger disease, the small blood vessels of the feet and hands become blocked with blood clots. Over time, skin tissue is damaged or destroyed. Open, painful sores develop on the toes and fingers. Not using tobacco is the best way to stop the disease from getting worse."
Bulimia nervosa,"Bulimia (boo-LEE-me-uh) nervosa, commonly called bulimia, is a serious, potentially life-threatening eating disorder. People with bulimia may secretly binge — eating large amounts of food with a loss of control over the eating — and then purge, trying to get rid of the extra calories in an unhealthy way."
Bullous pemphigoid,"People with bullous pemphigoid may develop multiple blisters. When the blisters rupture, they leave a sore that typically heals without scarring.
"
