,Disease,combined_symptoms
110,Broken ribs,deep breath pressure the injured area bend twist body the follow can cause pain with broken rib make bad
111,Broken toe,painswellingchange skin color from bruising bleeding under the skinsigns and symptom broken toe include
112,Broken wrist,severe pain that might worsen when grip squeeze move your hand wristswellingtendernessbruisingobvious deformity such bent wrista broken wrist cause these sign and symptom
113,Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
114,Bronchiolitis,runny nose stuffy nose cough sometimes slight fever for the first few day symptom bronchiolitis be much like cold
115,Bronchitis,coughproduction mucus sputum which can clear white yellowish gray green color rarely may streak with bloodfatigueshortness breathslight fever and chillschest discomfortfor either acute bronchitis chronic bronchitis sign symptom include
116,Bruxism (teeth grinding),teeth grind clench which may loud enough wake your sleep partnerteeth that be flatten fracture chipped looseworn tooth enamel expose deeper layer toothincreased pain sensitivitytired tight jaw muscle lock won open close completelyjaw neck face sorenesspain feel like earache though actually not problem with eardull headache start the templesdamage from chew inside cheeksleep disruptionsigns and symptom bruxism include
117,Buerger disease,tingle numbness the finger toe change skin color hand and foot the may look pale gray red blue depend your color these change harder easy see finger toe that turn white then blue when expose cold know raynaud disease see pain foot occurs with walk pain make difficult walk long distance painful open sore toe pain become severe occur rest inflammation vein just below skin surface due blood clot vein buerger disease symptom include
118,Bulimia nervosa,be preoccupy with your body shape and weightliving fear gain weightrepeated episode eat abnormally large amount food one sittingfeeling loss control during bingeing like you can stop what eatforcing yourself vomit exercise too much keep from weight after bingeingusing laxative diuretic enema when they not neededfasting restrict calorie avoid certain food between bingesusing dietary supplement herbal product excessively for lossbulimia sign symptom may include
119,Bullous pemphigoid,itch skin week month before blister formlarge that don easily rupture when touch often along crease fold the skinskin around normal reddish darker than normaleczema hive like rashsmall sore mouth other mucous membrane benign membrane pemphigoid the sign and symptom bullous pemphigoid may include
120,Burning mouth syndrome,burning scald feel that most commonly affect your tongue but also may affect lip gum roof mouth throat whole mouth dry mouth with increase thirst taste change such bitter metallic taste loss taste tingle sting numbness mouth symptom syndrome include
121,Burns,st degree burn this minor burn affect only the outer layer skin epidermis may cause redness and pain nd degree type both epidermis second dermis swell red white splotchy skin blister develop pain can severe deep second degree burn scar rd degree reach fat beneath burn area black brown white the look leathery third degree destroy nerve cause numbness your have three layer that house your sweat oil gland hair follicle melanocyte blood vessel
122,Bursitis,feel achy stiffhurt more when you move press itlook swollen and redif have bursitis the affected joint might
123,C. difficile infection,watery diarrhea three more time day for than one daymild abdominal cramp and tendernesssome people carry c difficile bacteria their intestine but never become sick these individual be carrier the may spread infection
124,COPD,shortness breath especially during physical activitieswheezingchest tightnessa chronic cough that may produce mucus sputum clear white yellow greenishfrequent respiratory infectionslack energyunintended weight loss later stage swell ankle foot legscopd symptom often don appear until significant lung damage have occur and they usually worsen over time particularly smoking exposure continue
